Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Groups Day 4,Karmine Corp,Hanwha Life Esports,0 - 1,2,25.05,Nidalee,Skarner,Yone,Kalista,Jayce,Azir,Rumble,"Varus, Vi","Ezreal, Xin Zhao",Aurora,Braum,Ambessa,Karma,Galio,Poppy,"Taliyah, Leona",Sylas,Top,Bot,Jungle,Mid,Support,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/CG0nbJNQBIQ?t=12
Groups Day 4,Team Liquid,CTBC Flying Oyster,0 - 2,2,25.05,Zyra,Rumble,Miss Fortune,Kalista,Skarner,Varus,Corki,"Maokai, Tristana","Ziggs, Sejuani",Leona,Nautilus,Jhin,Pantheon,Gragas,Yone,"Jax, Poppy",Gangplank,Mid,Bot,Jungle,Top,Support,Jungle,Bot,Support,Mid,Top,SB,https://youtu.be/VzD-GLZplQ8?t=12
Groups Day 4,Team Liquid,CTBC Flying Oyster,0 - 1,2,25.05,Skarner,Kalista,Zyra,Rumble,Yone,Varus,Taliyah,"Ezreal, Azir","Vi, Kai'Sa",Xin Zhao,Jax,Leona,Nautilus,Poppy,K'Sante,"Rakan, Gwen",Alistar,Mid,Jungle,Bot,Support,Top,Bot,Mid,Jungle,Top,Support,SB,https://youtu.be/4t49LPLO4gE?t=7
Groups Day 3,Top Esports,Karmine Corp,0 - 2,2,25.05,Azir,Nidalee,Maokai,Vi,Sejuani,Rumble,Varus,"Yone, Ezreal","Corki, Karthus",Leona,Poppy,Kennen,Alistar,Xin Zhao,Ivern,"Rell, Gnar",Aatrox,Bot,Mid,Jungle,Support,Top,Mid,Bot,Support,Jungle,Top,SB,https://youtu.be/CStIrjmsBfc?t=17
Groups Day 3,Top Esports,Karmine Corp,0 - 1,2,25.05,Maokai,Nidalee,Azir,Vi,Varus,Rumble,Kalista,"Ashe, Skarner","Renata Glasc, Ambessa",Jayce,Sejuani,Seraphine,Nocturne,Viktor,Karma,"Aurora, Viego",Taliyah,Bot,Support,Top,Mid,Jungle,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/SEzW85a7Vu0?t=54
Groups Day 3,CTBC Flying Oyster,Hanwha Life Esports,0 - 2,2,25.05,Jayce,Skarner,Poppy,Zyra,Varus,Kalista,Corki,"Miss Fortune, Nidalee","Gragas, Leona",Rell,Sejuani,Ambessa,Lillia,Akali,Vladimir,"Taliyah, Kindred",Zed,Bot,Top,Support,Mid,Jungle,Bot,Jungle,Support,Top,Mid,SB,https://youtu.be/ZUNT-LDd1sg?t=36
Groups Day 3,Hanwha Life Esports,CTBC Flying Oyster,1 - 0,1,25.05,Zyra,Kalista,Skarner,Sejuani,Leona,Maokai,Rumble,"Azir, Ezreal","Vi, Yone",Wukong,Varus,K'Sante,Kai'Sa,Ornn,Karma,"Ashe, Rakan",Alistar,Top,Jungle,Mid,Bot,Support,Mid,Bot,Jungle,Top,Support,SB,https://youtu.be/1eWRfW2gbOY?t=15
Groups Day 2,Team Liquid,Top Esports,0 - 2,2,25.05,Nidalee,Ziggs,Yone,Skarner,Poppy,Taliyah,Kalista,"Neeko, Varus","Maokai, Nautilus",Sylas,Cassiopeia,Sejuani,Corki,Gnar,Pantheon,"Hwei, K'Sante",Aatrox,Bot,Jungle,Support,Mid,Top,Support,Bot,Mid,Jungle,Top,SB,https://youtu.be/KlH54IVXq4c?si=u4qQ0hZwPBv_vmVu&t=0
Groups Day 2,Top Esports,Team Liquid,1 - 0,1,25.05,Ziggs,Nidalee,Varus,Yone,Taliyah,Kalista,Rumble,"Ezreal, Xin Zhao","Vi, Aurora",Galio,Kai'Sa,Karma,Miss Fortune,Azir,Tristana,"Ashe, Braum",Rakan,Top,Jungle,Mid,Bot,Support,Bot,Jungle,Top,Mid,Support,SB,https://youtu.be/p2Eu_tg6NCw?si=WkDo4kASx1AeCaYi&t=2
Groups Day 2,Karmine Corp,CTBC Flying Oyster,0 - 2,2,25.05,Zyra,Kalista,Lillia,Azir,K'Sante,Maokai,Varus,"Miss Fortune, Sejuani","Yone, Jayce",Sion,Renata Glasc,Sylas,Ivern,Braum,Taliyah,"Brand, Nautilus",Rell,Bot,Mid,Top,Jungle,Support,Bot,Jungle,Top,Mid,Support,SB,https://youtu.be/sRfzrGKdcMI?si=mKmywZW_KB2kOwOH&t=0
Groups Day 2,CTBC Flying Oyster,Karmine Corp,1 - 0,1,25.05,Draven,K'Sante,Maokai,Zyra,Kalista,Azir,Rumble,"Ambessa, Vi","Skarner, Ezreal",Kai'Sa,Yone,Ahri,Poppy,Taliyah,Aurora,"Viktor, Leona",Rakan,Top,Jungle,Bot,Mid,Support,Top,Jungle,Bot,Mid,Support,SB,https://youtu.be/EC_9huoESd8?si=0ox5B1C045mGAzJI&t=2
Groups Day 1,Top Esports,Hanwha Life Esports,0 - 2,2,25.05,Galio,Yone,Jayce,Rumble,Gnar,Ambessa,Kalista,"Varus, Nidalee","Renata Glasc, Gragas",Poppy,Ahri,K'Sante,Viego,Neeko,Aatrox,"Nocturne, Orianna",Akali,Bot,Support,Top,Jungle,Mid,Bot,Jungle,Support,Top,Mid,SB,https://youtu.be/_6iL73sE-uI?si=PgZXdXHsZSvAEPyt&t=5
Groups Day 1,Hanwha Life Esports,Top Esports,1 - 0,1,25.05,Poppy,Kalista,Varus,Jayce,Nidalee,Rumble,Skarner,"Vi, Aurora","Azir, Ezreal",Miss Fortune,Braum,Ambessa,Gnar,Gragas,Leona,"Jax, Alistar",Kennen,Jungle,Mid,Bot,Top,Support,Jungle,Mid,Bot,Support,Top,SB,https://youtu.be/iCVpqrNjvoc?si=hpqmQqILujR9D5lK&t=0
Groups Day 1,Team Liquid,Karmine Corp,2 - 1,1,25.05,Viktor,Ziggs,Yone,Rumble,Draven,Kalista,Taliyah,"Xin Zhao, Ahri","K'Sante, Nocturne",Gnar,Xayah,Rakan,Corki,Lulu,Zeri,"Lucian, Nami",Yuumi,Mid,Top,Jungle,Bot,Support,Jungle,Mid,Top,Bot,Support,SB,https://youtu.be/j3vFp7SXZ6s?si=Uwn5fBk59972zF2g&t=2
Groups Day 1,Karmine Corp,Team Liquid,1 - 1,1,25.05,Ziggs,Viktor,Draven,Kalista,Taliyah,Yone,Azir,"Ambessa, Ashe","Camille, Sejuani",Skarner,Corki,Hwei,Jhin,Braum,Aurelion Sol,"Miss Fortune, Leona",Pantheon,Mid,Top,Jungle,Bot,Support,Top,Bot,Jungle,Mid,Support,SB,https://youtu.be/lpGC-En6KZU?si=rBzVbGqtXc90AWx0&t=0
Groups Day 1,Karmine Corp,Team Liquid,0 - 1,2,25.05,Ziggs,Viktor,Draven,Rumble,Taliyah,Kalista,Vi,"Maokai, Varus","Ezreal, Aurora",Tristana,Ambessa,Poppy,Braum,K'Sante,Nautilus,"Rell, Jayce",Ornn,Jungle,Bot,Mid,Support,Top,Jungle,Bot,Mid,Support,Top,SB,https://youtu.be/6Pli3nJ2PAg?si=Wew7eyR7mktb8EaD&t=0
