Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane
Viego,17360,36107,11368,27.1,29,146,3,1,JUNGLE
Akali,34655,25486,11970,29.08333333,181,0,6,0,MIDDLE
Akali,7418,12389,7691,20.6,106,0,4,0,MIDDLE
Viego,21305,49382,14012,30.5,32,180,4,1,JUNGLE
Taliyah,49432,38247,18014,36.16666667,87,217,4,1,JUNGLE
Nunu,10148,37492,7090,27.76666667,33,83,13,0,JUNGLE
Sylas,16719,23428,9751,24.55,153,0,6,0,MIDDLE
Akali,23966,25145,11758,27.53333333,183,0,2,1,MIDDLE
DrMundo,2474,13644,4706,15.61666667,22,86,0,0,JUNGLE
Nunu,27353,44874,13333,30.55,36,148,9,1,JUNGLE
Irelia,19544,34907,12217,30.93333333,236,22,7,0,MIDDLE
Syndra,9572,6571,6555,15.65,128,0,1,1,MIDDLE
Taliyah,19503,20259,11303,22.83333333,15,183,2,1,JUNGLE
Akali,34439,38578,12239,33.88333333,179,0,11,0,MIDDLE
Akali,32933,31188,15071,30.9,244,4,2,1,MIDDLE
Syndra,22137,10248,10369,20.25,168,0,2,1,MIDDLE
Nunu,14289,43111,10358,28.25,30,141,5,0,JUNGLE
Hwei,18707,24326,12966,31.26666667,224,4,8,1,MIDDLE
Hwei,26754,14663,10488,28.23333333,190,0,3,1,MIDDLE
Taliyah,36132,27354,17747,37.23333333,307,21,10,0,MIDDLE
Akali,35303,33043,14456,36.9,250,0,4,0,MIDDLE
Taliyah,26235,19098,12588,26.93333333,197,5,4,1,MIDDLE
LeeSin,7917,32685,6698,23.28333333,26,34,17,0,JUNGLE
