Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane
Ahri,11733.0,7738.0,5897.0,15.2,139.0,0.0,2.0,0.0,MIDDLE
Jayce,23795.0,25254.0,9344.0,24.916666666666668,213.0,0.0,4.0,0.0,MIDDLE
Yone,8636.0,13833.0,6260.0,15.416666666666666,135.0,0.0,1.0,1.0,MIDDLE
Yone,30602.0,35257.0,15106.0,25.533333333333335,226.0,26.0,3.0,1.0,MIDDLE
Ahri,23894.0,11824.0,10623.0,24.333333333333332,217.0,0.0,1.0,1.0,MIDDLE
Orianna,17061.0,12840.0,5959.0,19.483333333333334,130.0,0.0,5.0,0.0,MIDDLE
Taliyah,6835.0,6215.0,5805.0,15.183333333333334,116.0,0.0,2.0,1.0,MIDDLE
Orianna,36483.0,29716.0,15920.0,35.766666666666666,271.0,5.0,9.0,1.0,MIDDLE
Galio,17665.0,32765.0,10096.0,28.55,213.0,0.0,7.0,0.0,MIDDLE
Ahri,12493.0,12553.0,6278.0,18.616666666666667,135.0,0.0,3.0,0.0,MIDDLE
Galio,36530.0,39087.0,11489.0,27.816666666666666,191.0,0.0,7.0,1.0,MIDDLE
Gragas,33524.0,44519.0,13066.0,32.96666666666667,211.0,0.0,10.0,1.0,TOP
Taliyah,17286.0,17518.0,8941.0,23.883333333333333,186.0,4.0,5.0,1.0,MIDDLE
Ahri,20718.0,17758.0,10334.0,24.216666666666665,198.0,0.0,1.0,1.0,MIDDLE
Gwen,21122.0,42546.0,13469.0,30.133333333333333,72.0,161.0,8.0,0.0,JUNGLE
Ahri,25161.0,19159.0,13363.0,24.366666666666667,226.0,0.0,3.0,1.0,MIDDLE
Sylas,19874.0,50777.0,10685.0,31.083333333333332,152.0,0.0,9.0,0.0,MIDDLE
Viktor,34960.0,25355.0,11030.0,28.35,179.0,0.0,9.0,0.0,MIDDLE
Ambessa,5645.0,13966.0,4873.0,15.216666666666667,90.0,0.0,6.0,0.0,MIDDLE
Sylas,22952.0,49587.0,11618.0,31.35,187.0,0.0,9.0,1.0,MIDDLE
Sylas,8256.0,15903.0,6517.0,15.433333333333334,93.0,0.0,4.0,1.0,MIDDLE
Ahri,38840.0,32849.0,11468.0,31.516666666666666,185.0,4.0,11.0,0.0,MIDDLE
