Date,Region,Tournament,Phase,Blue,Red,Score,Result,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
2024-09-06,EMEA,LFL 2025 Promotion,Round 2,Aegis (French Team),Ici Japon Corp. Esport,1 - 2,Loss,14.16,Maokai,Rumble,Sejuani,Ashe,Vi,Aurora,Ezreal,"Jhin, Leona","Rell, K'Sante",Poppy,Lee Sin,Viego,Lillia,Zyra,Shyvana,"Brand, Yone",Zeri,Bot,Support,Top,Jungle,Mid,Bot,Support,Top,Jungle,Mid,SB,
2024-09-06,EMEA,LFL 2025 Promotion,Round 2,Aegis (French Team),Ici Japon Corp. Esport,0 - 2,Win,14.16,Maokai,Rumble,Sejuani,Ashe,Vi,Aurora,Ezreal,"Jhin, Leona","Rell, Renekton",Azir,Yone,K'Sante,LeBlanc,Ornn,Poppy,"Jarvan IV, Syndra",Viego,Bot,Support,Top,Jungle,Mid,Bot,Support,Mid,Top,Jungle,SB,
2024-09-06,EMEA,LFL 2025 Promotion,Round 2,Aegis (French Team),Ici Japon Corp. Esport,0 - 1,Win,14.16,Maokai,Rumble,Sejuani,Ashe,Vi,Aurora,Miss Fortune,"Ezreal, Leona","Rell, Azir",Yone,Lee Sin,Lillia,K'Sante,Amumu,Zyra,"Renekton, Viego",Ornn,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,Jungle,Top,SB,
2024-09-05,EMEA,LFL 2025 Promotion,Round 1,Izi Dream,Ici Japon Corp. Esport,1 - 3,Win,14.16,Sejuani,Rumble,Maokai,Aurora,LeBlanc,Ivern,Miss Fortune,"Ziggs, Vi","Brand, Smolder",Zeri,K'Sante,Leona,Alistar,Poppy,Rell,"Nautilus, Renekton",Ornn,Bot,Jungle,Mid,Support,Top,Bot,Jungle,Mid,Support,Top,SB,
2024-09-05,EMEA,LFL 2025 Promotion,Round 1,Ici Japon Corp. Esport,Izi Dream,2 - 1,Loss,14.16,Rumble,Miss Fortune,Aurora,Maokai,Ivern,Sejuani,Vi,"Brand, Ezreal","Jhin, Rell",Leona,LeBlanc,Olaf,Orianna,Renekton,Smolder,"K'Sante, Syndra",Garen,Jungle,Bot,Support,Top,Mid,Jungle,Bot,Support,Mid,Top,SB,
2024-09-05,EMEA,LFL 2025 Promotion,Round 1,Izi Dream,Ici Japon Corp. Esport,0 - 2,Win,14.16,Vi,Rumble,Ashe,Aurora,Miss Fortune,Ivern,Maokai,"Sejuani, Ezreal","Kai'Sa, Rell",Renekton,K'Sante,Braum,Olaf,Alistar,Leona,"Dr. Mundo, Tristana",Azir,Jungle,Bot,Support,Top,Mid,Jungle,Bot,Top,Support,Mid,SB,
2024-09-05,EMEA,LFL 2025 Promotion,Round 1,Izi Dream,Ici Japon Corp. Esport,0 - 1,Win,14.16,Vi,Rumble,Ashe,Aurora,Sejuani,Ivern,Miss Fortune,"Ezreal, Maokai","Skarner, Rell",Leona,Olaf,LeBlanc,Renekton,K'Sante,Yone,"Jax, Sylas",Poppy,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Support,Mid,Top,SB,
2024-09-04,EMEA,LFL 2025 Promotion,Round 1,Aegis (French Team),Ici Japon Corp. Esport,3 - 0,Loss,14.16,Maokai,Rumble,Sejuani,Ashe,Vi,Aurora,Miss Fortune,"Leona, Seraphine","Rell, Azir",Nasus,Lillia,Viego,Renekton,Xin Zhao,Skarner,"K'Sante, Jarvan IV",Poppy,Bot,Support,Mid,Top,Jungle,Support,Bot,Mid,Jungle,Top,SB,
2024-09-04,EMEA,LFL 2025 Promotion,Round 1,Aegis (French Team),Ici Japon Corp. Esport,2 - 0,Loss,14.16,Maokai,Rumble,Sejuani,Ashe,Vi,Lillia,Aurora,"Miss Fortune, Leona","Rell, Ezreal",K'Sante,Camille,Yone,Renekton,LeBlanc,Skarner,"Dr. Mundo, Brand",Azir,Mid,Support,Bot,Top,Jungle,Bot,Support,Top,Jungle,Mid,SB,
2024-09-04,EMEA,LFL 2025 Promotion,Round 1,Aegis (French Team),Ici Japon Corp. Esport,1 - 0,Loss,14.16,Maokai,Rumble,Sejuani,Ashe,Vi,Lillia,Aurora,"Miss Fortune, Leona","Rell, Ezreal",Zyra,Bel'Veth,Yone,Kennen,Corki,Renekton,"K'Sante, Lee Sin",Nasus,Mid,Support,Bot,Top,Jungle,Bot,Support,Jungle,Top,Mid,SB,
2024-08-04,EMEA,LFL Division 2 2024 Summer Playoffs,Finals,Ici Japon Corp. Esport,Izi Dream,3 - 0,Win,14.13,Rumble,Ashe,Miss Fortune,K'Sante,Leona,Lucian,Zyra,"Ezreal, Sejuani","Renekton, Tristana",Corki,Jhin,Olaf,Zeri,Darius,Ornn,"Xayah, Rakan",Rell,Jungle,Top,Mid,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,
2024-08-04,EMEA,LFL Division 2 2024 Summer Playoffs,Finals,Izi Dream,Ici Japon Corp. Esport,0 - 2,Win,14.13,Ashe,Rumble,Sejuani,Zyra,Leona,Ivern,Tristana,"Miss Fortune, Maokai","Brand, Nautilus",Rell,Olaf,Renekton,Aatrox,Corki,K'Sante,"Jhin, Malphite",Sylas,Mid,Jungle,Support,Bot,Top,Bot,Jungle,Support,Top,Mid,SB,
