Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane,Opp_champ,Damage share,gold7me,gold15me,xp7me,xp15me,gold7opp,gold15opp,xp7opp,xp15opp
Xerath,24318,12508,13402,27.433333333333334,227,0,3,True,MIDDLE,Smolder,0.24990751017388088,2784.0,7186.0,3612.0,7857.0,2200.0,5480.0,2922.0,7014.0
Ambessa,31125,36718,12790,30.216666666666665,193,26,5,True,MIDDLE,Azir,0.22191722220241702,2013.0,5050.0,2798.0,6910.0,2452.0,5392.0,3051.0,7201.0
Mel,44700,26916,13630,36.733333333333334,228,0,8,False,MIDDLE,Velkoz,0.2573135771768038,2251.0,5600.0,2674.0,7175.0,2762.0,6019.0,3064.0,7539.0
Karma,24505,18479,12068,26.233333333333334,220,0,1,True,MIDDLE,Sylas,0.22928225904544478,2693.0,6740.0,3051.0,8234.0,1794.0,4000.0,2107.0,5778.0
Karma,34032,15427,11247,26.033333333333335,218,0,1,True,TOP,Maokai,0.2709683583610682,2538.0,5264.0,3111.0,7237.0,1914.0,4515.0,2830.0,7347.0
Syndra,28694,23314,11852,28.966666666666665,243,0,7,False,MIDDLE,Yone,0.25992354656955996,2256.0,5024.0,2826.0,6642.0,2329.0,5284.0,2941.0,7335.0
Xerath,8884,7993,6452,15.733333333333333,141,0,2,True,MIDDLE,Azir,0.23112544877465008,2212.0,5821.0,2907.0,7432.0,2263.0,5631.0,3181.0,7381.0
Syndra,32262,24333,13866,30.133333333333333,225,20,6,True,MIDDLE,Azir,0.23030138629127822,2357.0,6585.0,3119.0,8209.0,2589.0,6751.0,3190.0,7568.0
Smolder,27014,26424,10845,29.433333333333334,235,12,7,False,MIDDLE,Jayce,0.25122992364708396,2863.0,5349.0,2965.0,6915.0,2460.0,5985.0,2829.0,7696.0
Akali,27873,19132,12510,26.666666666666668,213,4,2,True,MIDDLE,Ekko,0.3213766862677274,2310.0,6070.0,3315.0,8297.0,1930.0,4526.0,2472.0,7111.0
Aurora,32552,26429,12187,29.95,209,1,5,True,MIDDLE,Viktor,0.31419939577039274,2638.0,5666.0,3339.0,7433.0,2429.0,5980.0,3189.0,7821.0
Jinx,14804,15540,9340,24.6,192,4,7,True,BOTTOM,Kaisa,0.1608238911038446,2147.0,5292.0,1943.0,6015.0,2497.0,6967.0,1933.0,5893.0
Corki,36740,25292,13835,23.15,176,16,6,True,MIDDLE,Fizz,0.3696251433630455,2670.0,6151.0,3140.0,7681.0,1997.0,4545.0,2651.0,6403.0
Mel,43811,17823,16061,29.483333333333334,253,0,3,True,MIDDLE,Gwen,0.3627519168032855,2486.0,7064.0,2950.0,7446.0,1681.0,4810.0,2471.0,6396.0
Jinx,12028,16625,9444,21.833333333333332,193,8,6,False,BOTTOM,Corki,0.20580384641708302,2831.0,6424.0,2289.0,6016.0,2779.0,7481.0,2457.0,6562.0
Tristana,11328,20349,10402,28.133333333333333,239,8,2,False,BOTTOM,Ezreal,0.1250952459831042,2257.0,5193.0,2355.0,6516.0,2729.0,6134.0,2611.0,6733.0
